Date,Airport,City,Season,Temperature,Total_Flights,Domestic_Flights,International_Flights,Load_Factor (%),Weather_Good,Economic_Trend,Is_Weekend,Peak_Season,Holiday,Predicted_Footfall,Actual_Footfall
25-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,212,147,65,75.97856364,1,1.109428841,0,0,0,78598,77907
26-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,23,243,197,46,85.2957755,1,0.90213455,0,0,0,82877,87603
27-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,523,398,125,70.72887965,1,0.862513484,1,0,0,96336,90549
28-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,24,358,301,57,75.51115011,1,1.173721646,1,0,1,80075,80302
29-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,15,569,446,123,80.7114476,1,1.129788607,0,0,0,121722,123971
30-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,17,292,243,49,76.27923169,1,0.993608229,0,0,0,88216,80213
31-01-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,16,305,198,107,94.45886968,1,0.958062119,0,0,0,90867,92821
01-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,17,349,281,68,76.64821127,1,0.81030784,0,0,0,95078,88812
02-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,20,401,310,91,75.56690198,1,1.018583417,0,0,0,101254,92445
03-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,513,368,145,90.12409326,0,0.863849961,1,0,0,86675,94456
04-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,20,408,284,124,91.7102381,1,0.967850953,1,0,0,85885,93883
05-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,23,343,223,120,89.68429895,1,0.816103201,0,0,0,95141,101009
06-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,24,278,195,83,92.60608229,1,1.019947425,0,0,0,87516,84096
07-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,21,491,399,92,93.2599605,0,0.980023456,0,0,0,101804,93612
08-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,26,379,283,96,81.05267587,1,0.957828926,0,0,0,98943,102588
09-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,17,484,329,155,76.70435919,1,0.963382233,0,0,0,111282,109950
10-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,26,517,436,81,78.62044019,1,0.924764762,1,0,0,96131,88864
11-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,17,208,157,51,72.63978865,0,1.062554344,1,0,0,58438,58381
12-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,22,305,229,76,72.9320037,1,0.940722003,0,0,0,89575,81233
13-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,24,571,422,149,85.46930193,1,1.00028437,0,0,0,122248,132255
14-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,18,203,156,47,83.09001368,1,0.988380024,0,0,0,77945,74184
15-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,23,479,360,119,71.52517858,1,0.837308579,0,0,1,110371,113958
16-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,14,343,223,120,70.03365677,1,0.857358148,0,0,0,93962,90423
17-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,19,241,168,73,86.26063122,1,0.848802965,1,0,0,68913,69189
18-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,25,272,202,70,70.34206037,0,0.903436636,1,0,0,64095,64693
19-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,24,585,457,128,94.13256809,0,1.156153728,0,0,0,112003,104943
20-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,15,415,298,117,92.93170166,1,0.857312583,0,0,0,103975,113740
21-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,22,295,231,64,86.99082956,1,0.918329639,0,0,0,89219,94128
22-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,430,280,150,88.21945136,1,1.066022396,0,0,0,105493,114765
23-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,25,297,211,86,92.35662796,1,0.915300631,0,0,0,89781,96870
24-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,27,389,294,95,91.27876839,1,1.02629798,1,0,0,83963,85606
25-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,25,418,291,127,72.37413188,1,0.838657934,1,0,0,85918,93167
26-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,16,219,167,52,90.31184553,1,0.922297583,0,0,0,80298,73689
27-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,16,387,261,126,84.46231271,1,1.080244599,0,0,0,100107,94020
28-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,26,596,390,206,77.11353464,1,1.046842378,0,0,0,124746,113399
29-02-2024,Rajiv Gandhi International Airport,Hyderabad,Winter,23,498,351,147,89.28780155,1,1.132966873,0,0,1,113717,109744
01-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,493,372,121,76.7946629,1,1.039438043,0,0,0,128567,125704
02-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,38,575,382,193,92.69338583,1,1.08017272,1,0,0,116134,110823
03-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,39,576,486,90,90.83010891,1,1.186619007,1,0,0,116141,123776
04-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,414,334,80,77.94956378,1,0.938249997,0,0,0,119156,115742
05-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,35,472,316,156,72.85349923,1,1.149062029,0,0,0,125811,120298
06-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,443,323,120,81.38457839,1,1.092196991,0,0,0,122843,123891
07-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,429,353,76,77.43403828,1,1.070248524,0,0,0,120926,112241
08-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,388,296,92,78.63702134,1,1.016111557,0,0,0,116078,123093
09-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,39,554,376,178,80.81928711,1,0.832246162,1,0,1,113440,103787
10-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,265,205,60,90.71632265,1,0.9108277,1,0,1,85035,93315
11-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,243,159,84,80.13557063,1,1.03225809,0,0,1,98768,104145
12-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,592,488,104,70.3226807,1,1.026757118,0,0,0,140059,131619
13-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,30,370,274,96,88.80321749,1,1.134149012,0,0,0,114528,103201
14-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,31,221,153,68,93.38445403,1,0.97815461,0,0,0,96923,103038
15-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,26,318,237,81,70.52552767,1,1.129941507,0,0,0,107191,111625
16-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,30,322,219,103,74.61147628,1,0.954682823,1,0,0,89930,94048
17-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,30,321,217,104,82.64241859,0,0.828462272,1,0,0,81208,85613
18-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,526,352,174,71.10164654,1,1.016508044,0,0,0,132186,120924
19-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,505,345,160,73.17361034,1,1.007424675,0,0,0,129790,126116
20-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,389,282,107,83.86829508,0,0.801674977,0,0,0,104860,96804
21-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,27,419,300,119,74.42705638,0,1.182688174,0,0,0,107591,115404
22-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,347,237,110,89.93785113,1,1.01877155,0,0,0,111836,114593
23-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,346,293,53,76.01676287,1,1.132249104,1,0,0,92400,89274
24-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,474,339,135,88.27175864,1,1.031343905,1,0,0,105813,96576
25-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,326,239,87,83.71471038,1,1.00784467,0,0,1,108942,104823
26-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,35,413,341,72,92.67604901,1,0.883326156,0,0,0,119920,115727
27-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,345,263,82,74.03644585,1,1.02138871,0,0,0,110642,115722
28-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,539,425,114,78.26402506,1,0.964961224,0,0,0,134175,137866
29-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,316,209,107,87.35043535,1,0.92761803,0,0,0,107961,116321
30-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,367,247,120,84.34626495,0,0.812372353,1,0,0,85425,84950
31-03-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,325,248,77,92.26646139,1,1.124064436,1,0,0,91113,84181
01-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,535,369,166,76.17142569,1,1.022053515,0,0,0,133570,139266
02-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,33,209,157,52,75.34986697,1,0.960125134,0,0,0,94400,99323
03-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,27,408,266,142,73.84459264,1,0.983407425,0,0,0,118190,119638
04-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,33,388,274,114,91.99381006,0,0.892432341,0,0,1,105191,110891
05-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,31,340,266,74,75.9766596,1,1.104002218,0,0,0,110158,110021
06-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,30,356,253,103,89.54727282,1,1.076662261,1,0,1,94077,94504
07-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,30,419,289,130,82.61139854,1,0.970986611,1,0,0,100030,98580
08-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,38,517,417,100,92.73131736,1,1.10051157,0,0,1,132403,119835
09-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,26,504,333,171,82.15434135,1,0.899415928,0,0,0,130209,119997
10-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,209,167,42,73.66737785,1,1.178009626,0,0,0,94300,85462
11-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,26,581,413,168,90.05990076,1,0.854920013,0,0,1,139923,143740
12-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,27,311,221,90,91.46266136,1,1.082016363,0,0,0,107607,103611
13-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,31,206,163,43,81.88689288,1,0.953358856,1,0,0,78694,78828
14-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,386,297,89,81.52245846,1,1.131825086,1,0,0,96676,104556
15-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,38,294,242,52,88.13429001,1,0.963111214,0,0,1,105368,100084
16-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,31,278,194,84,93.55145549,1,1.110202119,0,0,0,103773,101913
17-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,37,278,200,78,78.60229045,1,0.976265953,0,0,1,102876,108134
18-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,585,388,197,86.57865622,1,0.966058262,0,0,0,140194,132589
19-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,24,472,332,140,71.15157659,1,1.064319412,0,0,0,125709,115073
20-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,26,304,232,72,81.96762145,1,0.842162114,1,0,0,88498,84776
21-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,565,466,99,88.06961502,1,1.082225085,1,0,0,114903,107117
22-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,33,304,243,61,92.94602208,1,0.893054655,0,0,0,106856,116039
23-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,24,428,336,92,90.37680252,1,1.109273401,0,0,0,121582,129074
24-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,305,232,73,76.98613268,1,1.154601011,0,0,0,106019,108847
25-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,38,531,446,85,73.04698754,0,1.161654141,0,0,0,119612,128498
26-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,30,282,207,75,71.53562823,1,0.945309119,0,0,0,102932,109183
27-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,24,230,165,65,87.72247782,1,0.925851564,1,0,0,81386,76284
28-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,490,393,97,71.06849015,1,0.847464246,1,0,0,106553,114918
29-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,367,254,113,72.88895942,1,1.00098626,0,0,0,113213,114103
30-04-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,501,421,80,88.8634229,1,1.03688856,0,0,0,130251,138259
01-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,539,421,118,72.9555603,1,1.117251415,0,0,0,133857,144460
02-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,481,383,98,87.48991333,1,0.846329233,0,0,0,127769,123118
03-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,39,533,397,136,89.19924945,1,1.053305281,0,0,0,134111,123651
04-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,590,480,110,84.04659475,1,1.170523311,1,0,0,117202,110824
05-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,24,273,230,43,86.44413458,1,1.17318265,1,0,0,85622,84373
06-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,329,238,91,82.93233705,1,0.879738196,0,0,0,109255,116203
07-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,39,316,229,87,72.01452031,1,0.919190894,0,0,0,107040,114762
08-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,523,436,87,74.04236383,1,0.882317751,0,0,0,132002,118985
09-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,241,164,77,92.91222878,1,0.948832902,0,0,0,99294,99507
10-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,34,307,202,105,76.4265673,1,0.890791416,0,0,0,106225,104470
11-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,380,261,119,92.9305148,1,0.919692802,1,0,0,96646,91274
12-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,31,507,409,98,85.03460177,1,1.017838179,1,0,0,108951,100667
13-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,39,399,319,80,78.92456074,1,0.874567922,0,0,0,117415,113601
14-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,36,411,284,127,94.18177976,1,1.182853933,0,0,0,119770,130379
15-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,31,581,429,152,73.08624665,1,0.800377366,0,0,0,138905,133993
16-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,35,329,223,106,88.20291093,1,1.092500236,0,0,0,109572,109983
17-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,391,268,123,72.70387536,1,1.04565327,0,0,0,116082,120795
18-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,28,306,204,102,78.90232713,1,0.909648146,1,0,0,88545,86130
19-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,216,162,54,88.70040192,1,1.081734126,1,0,1,80035,87586
20-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,563,376,187,83.30557187,1,0.840551937,0,0,0,137358,150062
21-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,25,305,241,64,92.45888188,1,0.849642947,0,0,0,106947,101637
22-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,32,582,407,175,80.19724021,1,0.854548131,0,0,0,139451,139374
23-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,36,213,174,39,88.74884205,1,0.854738067,0,0,0,95684,91873
24-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,445,366,79,77.89992853,1,0.816373578,0,0,0,122873,117585
25-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,28,447,306,141,77.03376555,1,0.990154342,1,0,0,102551,93052
26-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,33,309,252,57,79.44985097,1,0.986501313,1,0,0,88872,90819
27-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,30,431,361,70,76.27225791,1,0.957304594,0,0,0,121096,121160
28-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,31,580,479,101,75.78394106,1,1.197306079,0,0,1,138947,126482
29-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,33,409,303,106,82.05043349,1,0.912767342,0,0,0,118803,113543
30-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,28,381,266,115,78.58188723,1,1.023687253,0,0,0,115234,124643
31-05-2024,Rajiv Gandhi International Airport,Hyderabad,Summer,29,457,298,159,79.85225382,1,0.938343543,0,0,0,124431,117949
01-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,32,529,419,110,76.78876138,1,1.137988341,1,1,0,92739,86152
02-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,25,540,391,149,75.22592593,1,1.177683535,1,1,1,93761,93563
03-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,28,322,222,100,89.22652833,1,1.026166376,0,1,0,87193,95662
04-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,30,211,154,57,85.86391169,1,0.848298654,0,1,1,73671,69870
05-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,32,241,177,64,85.71255426,1,1.05098716,0,1,1,77262,79921
06-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,24,381,269,112,77.61226061,1,1.057110965,0,1,0,93576,98472
07-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,26,345,275,70,83.56433317,1,0.909595513,0,1,0,89613,84910
08-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,25,268,189,79,79.23385325,1,0.847295357,1,1,1,66761,69808
09-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,27,349,232,117,77.05784586,1,0.902565211,1,1,1,74752,72775
10-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,24,498,373,125,92.74825395,1,1.032828052,0,1,0,108524,111395
11-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,25,394,311,83,72.08057666,1,0.992223976,0,1,0,94804,97335
12-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,28,445,338,107,71.36525758,1,1.005046098,0,1,0,100881,101602
13-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,25,555,440,115,94.33152208,1,0.803817341,0,1,0,115459,105998
14-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,30,430,356,74,81.50888433,1,1.193484633,0,1,0,99690,106375
15-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,26,248,162,86,89.36214008,1,0.987088246,1,1,0,65268,62928
16-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,29,296,226,70,89.79982584,1,0.900349389,1,1,0,70089,65694
17-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,29,437,328,109,81.32062013,1,1.183548749,0,1,0,100519,91286
18-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,22,436,288,148,84.46354546,0,0.861808332,0,1,0,90529,92174
19-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,26,383,322,61,93.61768454,1,1.028341575,0,1,1,94777,98142
20-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,31,241,202,39,89.70502325,0,1.013655878,0,1,0,69752,63008
21-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,28,280,231,49,72.42446906,0,0.85168952,0,1,0,73030,73206
22-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,26,345,230,115,86.70008127,1,1.14073837,1,1,0,74835,70741
23-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,29,387,313,74,84.41222258,1,1.123991497,1,1,0,78920,81211
24-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,28,579,435,144,91.11993953,0,1.082782527,0,1,0,106332,99406
25-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,23,526,382,144,73.28530957,1,1.032486191,0,1,0,110717,114945
26-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,25,366,308,58,81.08597757,1,1.010437605,0,1,0,91985,89901
27-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,29,416,299,117,77.89083038,1,0.928293433,0,1,0,97793,106334
28-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,31,216,150,66,87.03205276,1,1.042929767,0,1,0,74341,68951
29-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,23,243,191,52,90.36984169,1,0.923867548,1,1,1,64818,62757
30-06-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,22,206,144,62,91.94230447,0,1.086145646,1,1,0,55077,50819
01-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,26,223,183,40,91.78964707,1,0.977758247,0,1,0,75467,81877
02-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,25,501,410,91,78.99188903,1,0.925133679,0,1,0,108059,116213
03-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,32,221,157,64,90.29067536,1,0.978530544,0,1,0,75137,71499
04-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,29,552,402,150,80.78026212,1,0.800830607,0,1,0,114286,117942
05-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,25,361,266,95,70.67702834,1,0.918577955,0,1,1,90760,96518
06-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,28,238,198,40,91.69255245,1,0.842485531,1,1,0,64384,65094
07-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,29,364,292,72,76.63893995,1,0.900722706,1,1,0,76231,76683
08-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,31,322,253,69,89.87528842,1,0.841725235,0,1,0,87232,82728
09-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,28,291,239,52,90.70464673,1,0.830111487,0,1,0,83562,76761
10-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,27,425,358,67,81.34815341,1,1.028868785,0,1,1,99080,106951
11-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,29,263,202,61,86.35551155,1,0.829984017,0,1,0,79941,86342
12-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,23,322,250,72,73.20874817,1,1.192993032,0,1,1,86232,88527
13-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,31,268,220,48,81.59055186,1,1.178752079,1,1,0,66879,64725
14-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,24,588,423,165,87.06279325,1,1.086128924,1,1,0,99153,96162
15-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,26,458,377,81,92.27080371,1,0.983721475,0,1,0,103696,108382
16-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,30,594,427,167,81.15373141,1,0.933560989,0,1,0,119349,128827
17-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,23,448,338,110,84.56334444,1,1.101247539,0,1,0,102033,109932
18-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,30,431,290,141,83.13612816,1,0.881141295,0,1,1,99908,105500
19-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,24,504,390,114,84.51889998,1,1.070092335,0,1,0,108751,111840
20-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,26,328,218,110,82.82088406,1,0.931428253,1,1,0,72941,66874
21-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,23,403,316,87,82.43072988,1,0.919975396,1,1,0,80421,74978
22-07-2024,Rajiv Gandhi International Airport,Hyderabad,Monsoon,24,245,197,48,75.44322249,1,0.819231587,0,1,0,77126,83273
